"
MAAD 97.5 FM SCHEDULE",,,,,,,,,
,,,,,,,,,
,TIME,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
,5:00 AM ,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,FREE,FREE,
,6:00 AM ,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,Holy Ghost Power,FREE,FREE,
,7:00 AM ,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Weekend Vybes - Chris Persaud,FREE,
,8:00 AM ,"Maad Morning Vibes - Randy & Tchaiko
",Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Vybz Central - Selecter Face,Weekend Vybes - Anthony Persaud,
,9:00 AM ,"Maad Morning Vibes - Randy & Tchaiko
",Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Maad Morning Vibes - Randy & Tchaiko,Vybz Central - Selecter Face,FREE,
,10:00 AM ,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,Vybz Central - Selecter Face,"Sports medicine
Wayne Walcott",
,11:00 AM ,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,The Frontline Show - Chow Pow & DJ Fifty,"Chill Saturdays
Bark & Selector Shines","Radio Annand
Chandrowti Sarran",
,12:00 PM ,The Lunch Date,The Lunch Date,The Lunch Date,The Lunch Date,The Lunch Date,"Chill Saturdays
Bark & Selector Shines","Radio Annand
Chandrowti Sarran",
,1:00 PM ,ShadyVille,ShadyVille,ShadyVille,ShadyVille,ShadyVille,Plugin Saturdays,"Sunday Vibes
Bart & Shines",
,2:00 PM ,Farrakhan Message,Farrakhan Message,Farrakhan Message,Farrakhan Message,Farrakhan Message,"Meethi Masala
Ashwini Sarran","Sunday Vibes
Bart & Shines",
,3:00 PM ,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,"Meethi Masala
Ashwini Sarran","Calypso Sundays
Roger Hinds", 
,4:00 PM ,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,"Quake Wave Show
Junior Hype","Quake Wave Show
Junior Hype",
,5:00 PM ,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,"Quake Wave Show
Junior Hype","Quake Wave Show
Junior Hype",
,5:30 PM ,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,The Rush Hour Drive - NEB592,"Tekin It Lite
Chris Gopaul
5:30PM to 6:30PM","Tekin It Lite
Chris Gopaul
5:30PM to 6:30PM",
,6:00 PM ,The Meltdown,The Meltdown,FREE,The Meltdown,The Meltdown,"Tekin It Lite
Chris Gopaul
5:30PM to 6:30PM","Tekin It Lite
Chris Gopaul
5:30PM to 6:30PM",
,7:00 PM ,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,"Every 2nd and 4th Fridays
Podcast City Matters","Reggae Influencer
Troy Azore",Moving Forward- MP Amanza Desir,
,8:00 PM ,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,Vybes Up Show - DJ Safi Hype,FREE,"Reggae Influencer
Troy Azore",FREE,
,9:00 PM ,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,Set It Off - Benghazi,Set It Off - Benghazi,
,10:00 PM ,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,Set It Off - Benghazi,Set It Off - Benghazi,
,11:00 PM ,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,The Maad Zone - Alcapone,Set It Off - Benghazi,Set It Off - Benghazi,
